case,lnL_FC,lnL_HS,lnL_UN,LR_FC,LR_HS,log10LR_FC,log10LR_HS,
A_B,-20247.834,-20282.966,-20217.309,5.54E-14,3.06E-29,-13.25683906,-28.5144728,UNRELATED
A_C,-20273.716,-20309.044,-20241.284,8.22E-15,3.73E-30,-14.08503864,-29.42779409,UNRELATED
A_D,-19833.626,-19846.817,-20095.409,4.91E+113,9.17E+107,113.6909124,107.9621338,FIRST COUSIN
B_C,-19964.956,-19975.223,-20269.542,1.91E+132,6.62E+127,132.2800191,127.8211176,FIRST COUSIN
B_D,-20151.834,-20186.67,-20123.664,5.83E-13,4.33E-28,-12.23407556,-27.36315813,UNRELATED
C_D,-20176.324,-20210.813,-20147.645,3.51E-13,3.69E-28,-12.45513145,-27.43351383,UNRELATED
